code|i94port_raw|i94port_state|i94port_bps|i94port_city
BOI|AIR TERM. (GOWEN FLD) BOISE, ID|ID|unknown|AIR TERM. (GOWEN FLD) BOISE
EPI|EASTPORT, ID|ID|unknown|EASTPORT
IDA|FANNING FIELD - IDAHO FALLS, ID|ID|unknown|FANNING FIELD - IDAHO FALLS
PTL|PORTHILL, ID|ID|unknown|PORTHILL
SPI|CAPITAL - SPRINGFIELD, IL|IL|unknown|CAPITAL - SPRINGFIELD
CHI|CHICAGO, IL|IL|unknown|CHICAGO
DPA|DUPAGE COUNTY, IL|IL|unknown|DUPAGE COUNTY
PIA|GREATER PEORIA, IL|IL|unknown|GREATER PEORIA
RFD|GREATER ROCKFORD, IL|IL|unknown|GREATER ROCKFORD
UGN|MEMORIAL - WAUKEGAN, IL|IL|unknown|MEMORIAL - WAUKEGAN
GAR|GARY, IN|IN|unknown|GARY
HMM|HAMMOND, IN|IN|unknown|HAMMOND
INP|INDIANAPOLIS, IN|IN|unknown|INDIANAPOLIS
MRL|MERRILLVILLE, IN|IN|unknown|MERRILLVILLE
SBN|SOUTH BEND, IN|IN|unknown|SOUTH BEND
ICT|MID-CONTINENT - WICHITA, KS|KS|unknown|MID-CONTINENT - WICHITA
LEX|BLUE GRASS - LEXINGTON, KY|KY|unknown|BLUE GRASS - LEXINGTON
LOU|LOUISVILLE, KY|KY|unknown|LOUISVILLE
BTN|BATON ROUGE, LA|LA|unknown|BATON ROUGE
LKC|LAKE CHARLES, LA|LA|unknown|LAKE CHARLES
LAK|LAKE CHARLES, LA (BPS)|LA|(BPS)|LAKE CHARLES
MLU|MONROE, LA|LA|unknown|MONROE
MGC|MORGAN CITY, LA|LA|unknown|MORGAN CITY
NOL|NEW ORLEANS, LA|LA|unknown|NEW ORLEANS
BOS|BOSTON, MA|MA|unknown|BOSTON
GLO|GLOUCESTER, MA|MA|unknown|GLOUCESTER
BED|HANSCOM FIELD - BEDFORD, MA|MA|unknown|HANSCOM FIELD - BEDFORD
LYN|LYNDEN, WA|WA|unknown|LYNDEN
ADW|ANDREWS AFB, MD|MD|unknown|ANDREWS AFB
BAL|BALTIMORE, MD|MD|unknown|BALTIMORE
MKG|MUSKEGON, MI|MI|unknown|MUSKEGON
PAX|PATUXENT RIVER, MD|MD|unknown|PATUXENT RIVER
BGM|BANGOR, ME|ME|unknown|BANGOR
BOO|BOOTHBAY HARBOR, ME|ME|unknown|BOOTHBAY HARBOR
BWM|BRIDGEWATER, ME|ME|unknown|BRIDGEWATER
BCK|BUCKSPORT, ME|ME|unknown|BUCKSPORT
CLS|CALAIS, ME|ME|unknown|CALAIS
CRB|CARIBOU, ME|ME|unknown|CARIBOU
COB|COBURN GORE, ME|ME|unknown|COBURN GORE
EST|ESTCOURT, ME|ME|unknown|ESTCOURT
EPT|EASTPORT MUNICIPAL, ME|ME|unknown|EASTPORT MUNICIPAL
EPM|EASTPORT, ME|ME|unknown|EASTPORT
FOR|FOREST CITY, ME|ME|unknown|FOREST CITY
FTF|FORT FAIRFIELD, ME|ME|unknown|FORT FAIRFIELD
FTK|FORT KENT, ME|ME|unknown|FORT KENT
HML|HAMLIN, ME|ME|unknown|HAMLIN
HTM|HOULTON, ME|ME|unknown|HOULTON
JKM|JACKMAN, ME|ME|unknown|JACKMAN
KAL|KALISPELL, MT|MT|unknown|KALISPELL
